Array size;Bubble sort Random 0-5;Bubble sort Random 0-4100;Bubble sort Almost sort;Bubble sort Reverse sort;Bubble sort with 1 condition Random 0-5;Bubble sort with 1 condition Random 0-4100;Bubble sort with 1 condition Almost sort;Bubble sort with 1 condition Reverse sort;Bubble sort with 2 condition Random 0-5;Bubble sort with 2 condition Random 0-4100;Bubble sort with 2 condition Almost sort;Bubble sort with 2 condition Reverse sort;Insertion sort Random 0-5;Insertion sort Random 0-4100;Insertion sort Almost sort;Insertion sort Reverse sort;Selection sort Random 0-5;Selection sort Random 0-4100;Selection sort Almost sort;Selection sort Reverse sort;Binary insertion sort Random 0-5;Binary insertion sort Random 0-4100;Binary insertion sort Almost sort;Binary insertion sort Reverse sort;Count sort Random 0-5;Count sort Random 0-4100;Count sort Almost sort;Count sort Reverse sort;Radix sort Random 0-5;Radix sort Random 0-4100;Radix sort Almost sort;Radix sort Reverse sort;Heap sort Random 0-5;Heap sort Random 0-4100;Heap sort Almost sort;Heap sort Reverse sort;Merge Sort Random 0-5;Merge Sort Random 0-4100;Merge Sort Almost sort;Merge Sort Reverse sort;Quick Sort Hoare Random 0-5;Quick Sort Hoare Random 0-4100;Quick Sort Hoare Almost sort;Quick Sort Hoare Reverse sort;Quick Sort Lomuto Random 0-5;Quick Sort Lomuto Random 0-4100;Quick Sort Lomuto Almost sort;Quick Sort Lomuto Reverse sort
3000;108867;116965;100255;162702;103926;114241;126772;153336;88959;105077;99891;131207;24742;30760;28062;58211;48601;48821;48238;58266;38175;49317;43766;93608;76;76;77;110;353;353;326;355;1297;1550;1825;1689;4697;4501;5094;4199;590;678;614;357;19175;785;20947;47440
3100;111348;113825;105347;166648;110947;122337;132573;161988;96746;107120;110832;144530;26809;32347;26266;72641;51898;51730;52776;63671;43159;58227;54744;97494;92;83;87;112;372;373;349;377;1359;1617;1346;1758;4527;4672;5278;4341;618;702;622;368;25856;794;20217;56527
3200;115979;149950;121506;169929;119479;129105;129505;178495;103901;118136;106053;170194;34248;34239;32982;66094;59012;61116;55520;67267;46394;58543;58778;104961;89;83;83;111;414;380;379;381;1395;1672;1399;1821;4723;4831;5141;4475;645;729;640;382;26275;933;25459;56861
3300;120526;144369;126949;181894;129377;138009;141108;187413;110933;131107;107715;165530;30331;36192;37495;70857;60409;57969;58790;80504;44489;56343;51432;126250;84;85;84;112;392;391;391;359;1442;1726;1456;1905;4876;5268;4826;4654;970;741;658;392;23834;940;25892;58778
3400;131124;145483;129003;198588;133262;148616;150880;187622;123494;124394;117169;165776;31968;37781;34085;78154;72703;62833;61543;76219;47779;61652;50024;118068;85;85;85;113;405;406;366;376;1484;1792;1485;1972;4978;5183;4996;4764;1041;766;683;405;24357;923;24946;62186
3500;134170;153514;138853;225995;149761;158010;149769;226497;123462;141323;122137;202256;34136;40096;33088;82677;72180;83131;67764;87894;54363;61942;52950;127472;85;85;85;113;414;413;376;377;1545;1844;1535;2024;5139;5302;5191;4907;1059;791;701;415;28392;1017;25369;66059
3600;151768;154693;150732;200768;154361;164781;149534;213254;130683;158040;128389;194648;35211;43587;34521;84878;73286;79039;76953;92451;54906;66471;55689;151368;86;87;86;116;425;425;388;421;1572;1904;1611;2087;5402;5458;5359;5535;1095;824;721;471;27317;1017;32424;68920
3700;152273;181305;165835;224347;167547;182811;166838;226319;149598;148094;145791;199639;37500;45085;36937;99655;76314;72943;80574;97176;59345;71644;59663;158667;87;86;87;115;436;435;405;436;1659;1965;1640;2148;5469;5631;5482;5281;1121;845;747;699;31436;1013;33243;71755
3800;166518;173672;179379;241185;176376;187129;175700;239573;144948;159901;150775;211655;39777;52471;38712;97972;86213;77409;77379;97310;60222;95374;68747;148232;88;87;87;115;450;447;427;415;1683;2022;1695;2219;5609;5776;5613;5430;1163;872;758;518;33659;1017;29822;75751
3900;171847;190755;167972;235408;185243;205912;201613;267866;167198;186173;166097;217833;42122;56722;41053;100606;82160;93030;82557;104535;63453;77864;65309;161242;89;88;88;117;459;456;456;454;1728;2090;1724;2281;6090;5934;5756;5571;1206;901;809;470;31454;1145;32310;82343
4000;193847;188588;177634;250907;189556;207719;192252;276780;160385;177804;164155;230673;44724;54037;47236;103344;97682;86237;87234;109136;66308;85488;75036;162177;89;88;90;118;471;473;471;471;1782;2143;1774;2346;7294;6144;5956;5692;1233;921;823;531;33423;1128;32852;91770
4100;190814;210690;194607;279593;194742;231057;195476;279676;169892;185936;166455;265917;49449;56809;57682;111768;89940;91385;90691;120057;71378;92805;84317;179356;89;89;91;118;484;480;479;479;1830;2199;1827;2452;6193;6393;6050;5841;1273;947;851;659;35809;1215;34698;96782
